grid_id,week_num,crime_num,do_num,do_num_1,do_num_2,do_num_3,do_num_4,lat,long,do_spill,do_spill_1,do_spill_2,do_spill_3,do_spill_4
1_1,4,0,0,0,0,0,0,10.025,-61.875,0.005590039748403203,0.04584464050820941,0.012444831731819053,0,0
1_1,5,0,0,0,0,0,0,10.025,-61.875,0.13376758483767193,0.005590039748403203,0.04584464050820941,0.012444831731819053,0
1_1,6,0,0,0,0,0,0,10.025,-61.875,0.08375847444786425,0.13376758483767193,0.005590039748403203,0.04584464050820941,0.012444831731819053
1_1,7,0,0,0,0,0,0,10.025,-61.875,0.059013645365131075,0.08375847444786425,0.13376758483767193,0.005590039748403203,0.04584464050820941
1_1,8,0,0,0,0,0,0,10.025,-61.875,0.16584635085707158,0.059013645365131075,0.08375847444786425,0.13376758483767193,0.005590039748403203
1_1,9,0,0,0,0,0,0,10.025,-61.875,0.2209803450177778,0.16584635085707158,0.059013645365131075,0.08375847444786425,0.13376758483767193
1_1,10,0,0,0,0,0,0,10.025,-61.875,0.03688717174002967,0.2209803450177778,0.16584635085707158,0.059013645365131075,0.08375847444786425
1_1,11,0,0,0,0,0,0,10.025,-61.875,0.012453500847164487,0.03688717174002967,0.2209803450177778,0.16584635085707158,0.059013645365131075
1_1,12,0,0,0,0,0,0,10.025,-61.875,0.012376552792945857,0.012453500847164487,0.03688717174002967,0.2209803450177778,0.16584635085707158
1_1,13,0,0,0,0,0,0,10.025,-61.875,0,0.012376552792945857,0.012453500847164487,0.03688717174002967,0.2209803450177778
1_1,14,0,0,0,0,0,0,10.025,-61.875,0.012366355625401403,0,0.012376552792945857,0.012453500847164487,0.03688717174002967
1_1,15,0,0,0,0,0,0,10.025,-61.875,0,0.012366355625401403,0,0.012376552792945857,0.012453500847164487
1_1,16,0,0,0,0,0,0,10.025,-61.875,0,0,0.012366355625401403,0,0.012376552792945857
1_1,17,0,0,0,0,0,0,10.025,-61.875,0,0,0,0.012366355625401403,0
1_1,18,0,0,0,0,0,0,10.025,-61.875,0,0,0,0,0.012366355625401403
1_1,19,0,0,0,0,0,0,10.025,-61.875,0,0,0,0,0
1_1,20,0,0,0,0,0,0,10.025,-61.875,0,0,0,0,0
1_1,21,0,0,0,0,0,0,10.025,-61.875,0,0,0,0,0
1_1,22,0,0,0,0,0,0,10.025,-61.875,0,0,0,0,0
1_1,23,0,0,0,0,0,0,10.025,-61.875,0,0,0,0,0
1_1,24,0,0,0,0,0,0,10.025,-61.875,0,0,0,0,0
1_1,25,0,0,0,0,0,0,10.025,-61.875,0,0,0,0,0
1_1,26,0,0,0,0,0,0,10.025,-61.875,0,0,0,0,0
1_1,27,0,0,0,0,0,0,10.025,-61.875,0,0,0,0,0
1_1,28,0,0,0,0,0,0,10.025,-61.875,0,0,0,0,0
1_1,29,0,0,0,0,0,0,10.025,-61.875,0.0953018702048159,0,0,0,0
1_1,30,0,0,0,0,0,0,10.025,-61.875,0.14582244126732868,0.0953018702048159,0,0,0
1_1,31,0,0,0,0,0,0,10.025,-61.875,0.1264836810131339,0.14582244126732868,0.0953018702048159,0,0
1_1,32,0,0,0,0,0,0,10.025,-61.875,0.4064570284122285,0.1264836810131339,0.14582244126732868,0.0953018702048159,0
1_1,33,0,0,0,0,0,0,10.025,-61.875,0.272056866553637,0.4064570284122285,0.1264836810131339,0.14582244126732868,0.0953018702048159
1_1,34,0,0,0,0,0,0,10.025,-61.875,0.03530682735018884,0.272056866553637,0.4064570284122285,0.1264836810131339,0.14582244126732868
1_1,35,0,0,0,0,0,0,10.025,-61.875,0.1036898279454134,0.03530682735018884,0.272056866553637,0.4064570284122285,0.1264836810131339
1_1,36,0,0,0,0,0,0,10.025,-61.875,0.07126672298636898,0.1036898279454134,0.03530682735018884,0.272056866553637,0.4064570284122285
1_1,37,0,0,0,0,0,0,10.025,-61.875,0.0396380199636106,0.07126672298636898,0.1036898279454134,0.03530682735018884,0.272056866553637
1_1,38,0,0,0,0,0,0,10.025,-61.875,0.1316206231526264,0.0396380199636106,0.07126672298636898,0.1036898279454134,0.03530682735018884
1_1,39,0,0,0,0,0,0,10.025,-61.875,0.021629268608898855,0.1316206231526264,0.0396380199636106,0.07126672298636898,0.1036898279454134
1_1,40,0,0,0,0,0,0,10.025,-61.875,0,0.021629268608898855,0.1316206231526264,0.0396380199636106,0.07126672298636898
1_1,41,0,0,0,0,0,0,10.025,-61.875,0.049147849159290574,0,0.021629268608898855,0.1316206231526264,0.0396380199636106
1_1,42,0,0,0,0,0,0,10.025,-61.875,0.12057579391448983,0.049147849159290574,0,0.021629268608898855,0.1316206231526264
1_1,43,0,0,0,0,0,0,10.025,-61.875,0,0.12057579391448983,0.049147849159290574,0,0.021629268608898855
1_1,44,0,0,0,0,0,0,10.025,-61.875,0.05891630484595668,0,0.12057579391448983,0.049147849159290574,0
1_1,45,0,0,0,0,0,0,10.025,-61.875,0.012164516462331989,0.05891630484595668,0,0.12057579391448983,0.049147849159290574
1_1,46,0,0,0,0,0,0,10.025,-61.875,0.03837908939634858,0.012164516462331989,0.05891630484595668,0,0.12057579391448983
1_1,47,0,0,0,0,0,0,10.025,-61.875,0.11003848730404833,0.03837908939634858,0.012164516462331989,0.05891630484595668,0
1_1,48,0,0,0,0,0,0,10.025,-61.875,0,0.11003848730404833,0.03837908939634858,0.012164516462331989,0.05891630484595668
1_1,49,0,0,0,0,0,0,10.025,-61.875,0.010998478619577576,0,0.11003848730404833,0.03837908939634858,0.012164516462331989
1_1,50,0,0,0,0,0,0,10.025,-61.875,0.012323240288250605,0.010998478619577576,0,0.11003848730404833,0.03837908939634858
1_1,51,0,0,0,0,0,0,10.025,-61.875,0.017537698708132318,0.012323240288250605,0.010998478619577576,0,0.11003848730404833
1_1,52,0,0,0,0,0,0,10.025,-61.875,0,0.017537698708132318,0.012323240288250605,0.010998478619577576,0
1_2,4,0,0,0,0,0,0,10.075,-61.875,0.005717104953831525,0.04840643526839198,0.013221302314391267,0,0
1_2,5,0,0,0,0,0,0,10.075,-61.875,0.1406985994628417,0.005717104953831525,0.04840643526839198,0.013221302314391267,0
1_2,6,0,0,0,0,0,0,10.075,-61.875,0.08858341656554143,0.1406985994628417,0.005717104953831525,0.04840643526839198,0.013221302314391267
1_2,7,0,0,0,0,0,0,10.075,-61.875,0.06227529839766382,0.08858341656554143,0.1406985994628417,0.005717104953831525,0.04840643526839198
1_2,8,0,0,0,0,0,0,10.075,-61.875,0.1739750517642008,0.06227529839766382,0.08858341656554143,0.1406985994628417,0.005717104953831525
1_2,9,0,0,0,0,0,0,10.075,-61.875,0.20847534403126636,0.1739750517642008,0.06227529839766382,0.08858341656554143,0.1406985994628417
1_2,10,0,0,0,0,0,0,10.075,-61.875,0.03915320096934827,0.20847534403126636,0.1739750517642008,0.06227529839766382,0.08858341656554143
1_2,11,0,0,0,0,0,0,10.075,-61.875,0.013232574205171559,0.03915320096934827,0.20847534403126636,0.1739750517642008,0.06227529839766382
1_2,12,0,0,0,0,0,0,10.075,-61.875,0.013144424040938152,0.013232574205171559,0.03915320096934827,0.20847534403126636,0.1739750517642008
1_2,13,0,0,0,0,0,0,10.075,-61.875,0,0.013144424040938152,0.013232574205171559,0.03915320096934827,0.20847534403126636
