TTPS Crime Statistics

Year,Month,Division,Offence Code,Offence,Reported,Detected
2025,May,Eastern,1,Murders,2,0
2025,May,Eastern,10,"Rapes, Incest and Sexual Offences",14,0
2025,May,Eastern,15,Serious Indecency,0,0
2025,May,Eastern,16,Kidnapping,1,1
2025,May,Eastern,16R,Kidnapping for Ransom,0,0
2025,May,Eastern,21,Burglaries and Breakings,5,5
2025,May,Eastern,22,Robberies,9,8
2025,May,Eastern,30,Fraud Offences,3,2
2025,May,Eastern,34,General Larceny,5,3
2025,May,Eastern,34A,Larceny Motor Vehicles,2,1
2025,May,Eastern,38,Larceny Dwelling House,0,0
2025,May,Eastern,69,Narcotics,2,2
2025,May,Eastern,69A,Other,4,0
2025,May,Eastern,8,Woundings and Shootings,6,3
2025,May,Eastern,85,Possession of Firearms and Ammunition,7,7
2025,May,North Eastern,1,Murders,4,2
2025,May,North Eastern,10,"Rapes, Incest and Sexual Offences",4,1
2025,May,North Eastern,15,Serious Indecency,1,1
2025,May,North Eastern,16,Kidnapping,1,0
2025,May,North Eastern,16R,Kidnapping for Ransom,0,0
2025,May,North Eastern,21,Burglaries and Breakings,8,2
2025,May,North Eastern,22,Robberies,24,6
2025,May,North Eastern,30,Fraud Offences,3,0
2025,May,North Eastern,34,General Larceny,18,2
2025,May,North Eastern,34A,Larceny Motor Vehicles,6,0
2025,May,North Eastern,38,Larceny Dwelling House,0,0
2025,May,North Eastern,69,Narcotics,1,1
2025,May,North Eastern,69A,Other,3,1
2025,May,North Eastern,8,Woundings and Shootings,2,1
2025,May,North Eastern,85,Possession of Firearms and Ammunition,0,0
2025,May,Northern,1,Murders,6,0
2025,May,Northern,10,"Rapes, Incest and Sexual Offences",8,0
2025,May,Northern,15,Serious Indecency,0,0
2025,May,Northern,16,Kidnapping,2,0
2025,May,Northern,16R,Kidnapping for Ransom,0,0
2025,May,Northern,21,Burglaries and Breakings,21,2
2025,May,Northern,22,Robberies,44,4
2025,May,Northern,30,Fraud Offences,28,18
2025,May,Northern,34,General Larceny,56,4
2025,May,Northern,34A,Larceny Motor Vehicles,28,1
2025,May,Northern,38,Larceny Dwelling House,4,0
2025,May,Northern,69,Narcotics,3,3
2025,May,Northern,69A,Other,19,7
2025,May,Northern,8,Woundings and Shootings,9,1
2025,May,Northern,85,Possession of Firearms and Ammunition,15,15
2025,May,Port of Spain,1,Murders,2,1
2025,May,Port of Spain,10,"Rapes, Incest and Sexual Offences",4,0
2025,May,Port of Spain,15,Serious Indecency,0,0
2025,May,Port of Spain,16,Kidnapping,0,0
2025,May,Port of Spain,16R,Kidnapping for Ransom,0,0
2025,May,Port of Spain,21,Burglaries and Breakings,8,1
2025,May,Port of Spain,22,Robberies,26,5
2025,May,Port of Spain,30,Fraud Offences,12,0
2025,May,Port of Spain,34,General Larceny,25,4
2025,May,Port of Spain,34A,Larceny Motor Vehicles,1,0
2025,May,Port of Spain,38,Larceny Dwelling House,3,0
2025,May,Port of Spain,69,Narcotics,2,2
2025,May,Port of Spain,69A,Other,9,4
2025,May,Port of Spain,8,Woundings and Shootings,3,0
2025,May,Port of Spain,85,Possession of Firearms and Ammunition,2,2
2025,May,South Western,1,Murders,4,2
2025,May,South Western,10,"Rapes, Incest and Sexual Offences",17,7
2025,May,South Western,15,Serious Indecency,0,0
2025,May,South Western,16,Kidnapping,1,1
2025,May,South Western,16R,Kidnapping for Ransom,0,0
2025,May,South Western,21,Burglaries and Breakings,8,1
2025,May,South Western,22,Robberies,11,6
2025,May,South Western,30,Fraud Offences,6,0
2025,May,South Western,34,General Larceny,3,0
2025,May,South Western,34A,Larceny Motor Vehicles,3,0
2025,May,South Western,38,Larceny Dwelling House,1,1
2025,May,South Western,69,Narcotics,0,0
2025,May,South Western,69A,Other,2,0
2025,May,South Western,8,Woundings and Shootings,6,2
2025,May,South Western,85,Possession of Firearms and Ammunition,5,5
2025,May,Southern,1,Murders,2,0
2025,May,Southern,10,"Rapes, Incest and Sexual Offences",18,1
2025,May,Southern,15,Serious Indecency,0,0
2025,May,Southern,16,Kidnapping,2,2
2025,May,Southern,16R,Kidnapping for Ransom,0,0
2025,May,Southern,21,Burglaries and Breakings,14,1
2025,May,Southern,22,Robberies,25,9
2025,May,Southern,30,Fraud Offences,7,0
2025,May,Southern,34,General Larceny,10,1
2025,May,Southern,34A,Larceny Motor Vehicles,11,2
2025,May,Southern,38,Larceny Dwelling House,1,0
2025,May,Southern,69,Narcotics,3,3
2025,May,Southern,69A,Other,11,7
2025,May,Southern,8,Woundings and Shootings,6,4
2025,May,Southern,85,Possession of Firearms and Ammunition,6,6
2025,May,Tobago,1,Murders,0,0
2025,May,Tobago,10,"Rapes, Incest and Sexual Offences",10,3
2025,May,Tobago,15,Serious Indecency,0,0
2025,May,Tobago,16,Kidnapping,1,1
2025,May,Tobago,16R,Kidnapping for Ransom,0,0
2025,May,Tobago,21,Burglaries and Breakings,13,1
2025,May,Tobago,22,Robberies,8,0
2025,May,Tobago,30,Fraud Offences,1,0
2025,May,Tobago,34,General Larceny,14,3
2025,May,Tobago,34A,Larceny Motor Vehicles,0,0
2025,May,Tobago,38,Larceny Dwelling House,1,0
2025,May,Tobago,69,Narcotics,6,6
2025,May,Tobago,69A,Other,7,5
2025,May,Tobago,8,Woundings and Shootings,4,1
2025,May,Tobago,85,Possession of Firearms and Ammunition,0,0
2025,May,Western,1,Murders,3,0
2025,May,Western,10,"Rapes, Incest and Sexual Offences",4,1
2025,May,Western,15,Serious Indecency,0,0
2025,May,Western,16,Kidnapping,1,1
2025,May,Western,16R,Kidnapping for Ransom,0,0
2025,May,Western,21,Burglaries and Breakings,10,1
2025,May,Western,22,Robberies,11,3
2025,May,Western,30,Fraud Offences,8,0
2025,May,Western,34,General Larceny,12,1
2025,May,Western,34A,Larceny Motor Vehicles,4,0
2025,May,Western,38,Larceny Dwelling House,2,0
2025,May,Western,69,Narcotics,1,1
2025,May,Western,69A,Other,1,0
2025,May,Western,8,Woundings and Shootings,6,2
2025,May,Western,85,Possession of Firearms and Ammunition,5,5
2025,June,Central,1,Murders,10,2
2025,June,Central,10,"Rapes, Incest and Sexual Offences",13,4
2025,June,Central,15,Serious Indecency,0,0
2025,June,Central,16,Kidnapping,2,2
2025,June,Central,16R,Kidnapping for Ransom,0,0
2025,June,Central,21,Burglaries and Breakings,11,3
2025,June,Central,22,Robberies,20,5
2025,June,Central,30,Fraud Offences,7,1
2025,June,Central,34,General Larceny,19,7
2025,June,Central,34A,Larceny Motor Vehicles,9,0
2025,June,Central,38,Larceny Dwelling House,2,0
2025,June,Central,69,Narcotics,1,1
2025,June,Central,69A,Other,17,13
2025,June,Central,8,Woundings and Shootings,10,5
2025,June,Central,85,Possession of Firearms and Ammunition,19,19
2025,June,Eastern,1,Murders,1,1
2025,June,Eastern,10,"Rapes, Incest and Sexual Offences",8,2
2025,June,Eastern,15,Serious Indecency,1,1
2025,June,Eastern,16,Kidnapping,2,2
2025,June,Eastern,16R,Kidnapping for Ransom,0,0
2025,June,Eastern,21,Burglaries and Breakings,9,3
2025,June,Eastern,22,Robberies,10,4
2025,June,Eastern,30,Fraud Offences,8,6
2025,June,Eastern,34,General Larceny,8,4
2025,June,Eastern,34A,Larceny Motor Vehicles,2,1
2025,June,Eastern,38,Larceny Dwelling House,0,0
2025,June,Eastern,69,Narcotics,5,5
2025,June,Eastern,69A,Other,0,0
2025,June,Eastern,8,Woundings and Shootings,8,4
2025,June,Eastern,85,Possession of Firearms and Ammunition,19,19
2025,June,North Eastern,1,Murders,3,0
2025,June,North Eastern,10,"Rapes, Incest and Sexual Offences",3,2
2025,June,North Eastern,15,Serious Indecency,0,0
2025,June,North Eastern,16,Kidnapping,3,2
2025,June,North Eastern,16R,Kidnapping for Ransom,0,0
2025,June,North Eastern,21,Burglaries and Breakings,5,3
2025,June,North Eastern,22,Robberies,20,6
2025,June,North Eastern,30,Fraud Offences,2,0
2025,June,North Eastern,34,General Larceny,11,0
2025,June,North Eastern,34A,Larceny Motor Vehicles,8,0
2025,June,North Eastern,38,Larceny Dwelling House,2,0
2025,June,North Eastern,69,Narcotics,1,1
2025,June,North Eastern,69A,Other,2,1
2025,June,North Eastern,8,Woundings and Shootings,6,2
2025,June,North Eastern,85,Possession of Firearms and Ammunition,6,6
2025,June,Northern,1,Murders,4,2
2025,June,Northern,10,"Rapes, Incest and Sexual Offences",15,0
2025,June,Northern,15,Serious Indecency,0,0
2025,June,Northern,16,Kidnapping,0,0
2025,June,Northern,16R,Kidnapping for Ransom,0,0
2025,June,Northern,21,Burglaries and Breakings,24,0
2025,June,Northern,22,Robberies,33,1
2025,June,Northern,30,Fraud Offences,14,3
2025,June,Northern,34,General Larceny,51,1
2025,June,Northern,34A,Larceny Motor Vehicles,33,1
2025,June,Northern,38,Larceny Dwelling House,5,1
2025,June,Northern,69,Narcotics,3,3
2025,June,Northern,69A,Other,18,6
2025,June,Northern,8,Woundings and Shootings,13,2
2025,June,Northern,85,Possession of Firearms and Ammunition,12,12
2025,June,Port of Spain,1,Murders,3,1
2025,June,Port of Spain,10,"Rapes, Incest and Sexual Offences",5,2
2025,June,Port of Spain,15,Serious Indecency,1,1
2025,June,Port of Spain,16,Kidnapping,3,2
2025,June,Port of Spain,16R,Kidnapping for Ransom,0,0
2025,June,Port of Spain,21,Burglaries and Breakings,4,1
2025,June,Port of Spain,22,Robberies,20,2
2025,June,Port of Spain,30,Fraud Offences,2,0
2025,June,Port of Spain,34,General Larceny,39,5
2025,June,Port of Spain,34A,Larceny Motor Vehicles,6,0
2025,June,Port of Spain,38,Larceny Dwelling House,1,0
2025,June,Port of Spain,69,Narcotics,0,0
2025,June,Port of Spain,69A,Other,17,9
2025,June,Port of Spain,8,Woundings and Shootings,3,0
2025,June,Port of Spain,85,Possession of Firearms and Ammunition,14,14
2025,June,South Western,1,Murders,1,0
2025,June,South Western,10,"Rapes, Incest and Sexual Offences",7,1
2025,June,South Western,15,Serious Indecency,1,1
2025,June,South Western,16,Kidnapping,0,0
2025,June,South Western,16R,Kidnapping for Ransom,0,0
2025,June,South Western,21,Burglaries and Breakings,8,2
2025,June,South Western,22,Robberies,9,2
2025,June,South Western,30,Fraud Offences,2,0
2025,June,South Western,34,General Larceny,6,1
2025,June,South Western,34A,Larceny Motor Vehicles,2,0
2025,June,South Western,38,Larceny Dwelling House,0,0
2025,June,South Western,69,Narcotics,3,3
2025,June,South Western,69A,Other,2,1
2025,June,South Western,8,Woundings and Shootings,2,0
2025,June,South Western,85,Possession of Firearms and Ammunition,7,7
2025,June,Southern,1,Murders,4,0
2025,June,Southern,10,"Rapes, Incest and Sexual Offences",7,1
2025,June,Southern,15,Serious Indecency,0,0
2025,June,Southern,16,Kidnapping,2,1
2025,June,Southern,16R,Kidnapping for Ransom,0,0
2025,June,Southern,21,Burglaries and Breakings,14,3
2025,June,Southern,22,Robberies,14,4
2025,June,Southern,30,Fraud Offences,6,2
2025,June,Southern,34,General Larceny,7,3
2025,June,Southern,34A,Larceny Motor Vehicles,15,3
2025,June,Southern,38,Larceny Dwelling House,1,1
2025,June,Southern,69,Narcotics,9,9
2025,June,Southern,69A,Other,9,6
2025,June,Southern,8,Woundings and Shootings,2,2
2025,June,Southern,85,Possession of Firearms and Ammunition,15,15
2025,June,Tobago,1,Murders,0,0
2025,June,Tobago,10,"Rapes, Incest and Sexual Offences",10,5
2025,June,Tobago,15,Serious Indecency,0,0
2025,June,Tobago,16,Kidnapping,2,2
2025,June,Tobago,16R,Kidnapping for Ransom,0,0
2025,June,Tobago,21,Burglaries and Breakings,7,0
2025,June,Tobago,22,Robberies,4,1
2025,June,Tobago,30,Fraud Offences,3,0
2025,June,Tobago,34,General Larceny,16,4
2025,June,Tobago,34A,Larceny Motor Vehicles,0,0
2025,June,Tobago,38,Larceny Dwelling House,0,0
2025,June,Tobago,69,Narcotics,4,4
2025,June,Tobago,69A,Other,7,3
2025,June,Tobago,8,Woundings and Shootings,0,0
2025,June,Tobago,85,Possession of Firearms and Ammunition,0,0
2025,June,Western,1,Murders,3,1
2025,June,Western,10,"Rapes, Incest and Sexual Offences",4,0
2025,June,Western,15,Serious Indecency,0,0
2025,June,Western,16,Kidnapping,0,0
2025,June,Western,16R,Kidnapping for Ransom,0,0
2025,June,Western,21,Burglaries and Breakings,8,1
2025,June,Western,22,Robberies,19,6
2025,June,Western,30,Fraud Offences,4,2
2025,June,Western,34,General Larceny,14,1
2025,June,Western,34A,Larceny Motor Vehicles,4,0
2025,June,Western,38,Larceny Dwelling House,0,0
2025,June,Western,69,Narcotics,2,2
2025,June,Western,69A,Other,5,2
2025,June,Western,8,Woundings and Shootings,5,0
2025,June,Western,85,Possession of Firearms and Ammunition,7,7
2025,July,Central,1,Murders,7,1
2025,July,Central,10,"Rapes, Incest and Sexual Offences",17,2
2025,July,Central,15,Serious Indecency,0,0
2025,July,Central,16,Kidnapping,0,0
2025,July,Central,16R,Kidnapping for Ransom,0,0
2025,July,Central,21,Burglaries and Breakings,12,2
2025,July,Central,22,Robberies,24,9
2025,July,Central,30,Fraud Offences,12,3
2025,July,Central,34,General Larceny,19,5
2025,July,Central,34A,Larceny Motor Vehicles,29,16
2025,July,Central,38,Larceny Dwelling House,1,0
2025,July,Central,69,Narcotics,2,2
2025,July,Central,69A,Other,5,3
2025,July,Central,8,Woundings and Shootings,3,1
2025,July,Central,85,Possession of Firearms and Ammunition,17,17
2025,July,Eastern,1,Murders,3,1
2025,July,Eastern,10,"Rapes, Incest and Sexual Offences",1,0
2025,July,Eastern,15,Serious Indecency,0,0
2025,July,Eastern,16,Kidnapping,0,0
2025,July,Eastern,16R,Kidnapping for Ransom,0,0
2025,July,Eastern,21,Burglaries and Breakings,6,1
2025,July,Eastern,22,Robberies,6,3
2025,July,Eastern,30,Fraud Offences,2,0
2025,July,Eastern,34,General Larceny,5,1
2025,July,Eastern,34A,Larceny Motor Vehicles,0,0
2025,July,Eastern,38,Larceny Dwelling House,0,0
2025,July,Eastern,69,Narcotics,6,6
2025,July,Eastern,69A,Other,6,4
2025,July,Eastern,8,Woundings and Shootings,8,1
2025,July,Eastern,85,Possession of Firearms and Ammunition,16,16
2025,July,North Eastern,1,Murders,3,0
2025,July,North Eastern,10,"Rapes, Incest and Sexual Offences",10,0
2025,July,North Eastern,15,Serious Indecency,0,0
2025,July,North Eastern,16,Kidnapping,1,0
2025,July,North Eastern,16R,Kidnapping for Ransom,0,0
2025,July,North Eastern,21,Burglaries and Breakings,9,0
2025,July,North Eastern,22,Robberies,20,3
2025,July,North Eastern,30,Fraud Offences,5,0
2025,July,North Eastern,34,General Larceny,14,1
2025,July,North Eastern,34A,Larceny Motor Vehicles,12,2
2025,July,North Eastern,38,Larceny Dwelling House,0,0
2025,July,North Eastern,69,Narcotics,6,6
2025,July,North Eastern,69A,Other,1,1
2025,July,North Eastern,8,Woundings and Shootings,3,1
2025,July,North Eastern,85,Possession of Firearms and Ammunition,16,16
2025,July,Northern,1,Murders,9,3
2025,July,Northern,10,"Rapes, Incest and Sexual Offences",17,6
2025,July,Northern,15,Serious Indecency,0,0
2025,July,Northern,16,Kidnapping,3,1
2025,July,Northern,16R,Kidnapping for Ransom,2,1
2025,July,Northern,21,Burglaries and Breakings,39,3
2025,July,Northern,22,Robberies,57,7
2025,July,Northern,30,Fraud Offences,9,0
2025,July,Northern,34,General Larceny,63,5
2025,July,Northern,34A,Larceny Motor Vehicles,31,0
2025,July,Northern,38,Larceny Dwelling House,3,0
2025,July,Northern,69,Narcotics,1,1
2025,July,Northern,69A,Other,16,4
2025,July,Northern,8,Woundings and Shootings,12,3
2025,July,Northern,85,Possession of Firearms and Ammunition,16,16
2025,July,Port of Spain,1,Murders,7,1
2025,July,Port of Spain,10,"Rapes, Incest and Sexual Offences",2,0
2025,July,Port of Spain,15,Serious Indecency,0,0
2025,July,Port of Spain,16,Kidnapping,0,0
2025,July,Port of Spain,16R,Kidnapping for Ransom,0,0
2025,July,Port of Spain,21,Burglaries and Breakings,8,0
2025,July,Port of Spain,22,Robberies,30,6
2025,July,Port of Spain,30,Fraud Offences,12,0
2025,July,Port of Spain,34,General Larceny,21,0
2025,July,Port of Spain,34A,Larceny Motor Vehicles,6,1
2025,July,Port of Spain,38,Larceny Dwelling House,0,0
2025,July,Port of Spain,69,Narcotics,2,2
2025,July,Port of Spain,69A,Other,7,4
2025,July,Port of Spain,8,Woundings and Shootings,5,0
2025,July,Port of Spain,85,Possession of Firearms and Ammunition,8,8
2025,July,South Western,1,Murders,2,0
2025,July,South Western,10,"Rapes, Incest and Sexual Offences",14,0
2025,July,South Western,15,Serious Indecency,1,1
2025,July,South Western,16,Kidnapping,1,0
2025,July,South Western,16R,Kidnapping for Ransom,0,0
2025,July,South Western,21,Burglaries and Breakings,4,1
2025,July,South Western,22,Robberies,7,1
2025,July,South Western,30,Fraud Offences,3,0
2025,July,South Western,34,General Larceny,4,2
2025,July,South Western,34A,Larceny Motor Vehicles,3,0
2025,July,South Western,38,Larceny Dwelling House,0,0
2025,July,South Western,69,Narcotics,2,2
2025,July,South Western,69A,Other,3,0
2025,July,South Western,8,Woundings and Shootings,5,0
2025,July,South Western,85,Possession of Firearms and Ammunition,13,13
2025,July,Southern,1,Murders,6,1
2025,July,Southern,10,"Rapes, Incest and Sexual Offences",12,2
2025,July,Southern,15,Serious Indecency,0,0
2025,July,Southern,16,Kidnapping,6,6
2025,July,Southern,16R,Kidnapping for Ransom,0,0
2025,July,Southern,21,Burglaries and Breakings,16,8
2025,July,Southern,22,Robberies,17,7
2025,July,Southern,30,Fraud Offences,7,1
2025,July,Southern,34,General Larceny,19,10
2025,July,Southern,34A,Larceny Motor Vehicles,19,3
2025,July,Southern,38,Larceny Dwelling House,0,0
2025,July,Southern,69,Narcotics,8,8
2025,July,Southern,69A,Other,9,4
2025,July,Southern,8,Woundings and Shootings,4,1
2025,July,Southern,85,Possession of Firearms and Ammunition,48,48
2025,July,Tobago,1,Murders,1,1
2025,July,Tobago,10,"Rapes, Incest and Sexual Offences",2,0
2025,July,Tobago,15,Serious Indecency,1,0
2025,July,Tobago,16,Kidnapping,0,0
2025,July,Tobago,16R,Kidnapping for Ransom,0,0
2025,July,Tobago,21,Burglaries and Breakings,23,2
2025,July,Tobago,22,Robberies,6,1
2025,July,Tobago,30,Fraud Offences,1,0
2025,July,Tobago,34,General Larceny,10,2
2025,July,Tobago,34A,Larceny Motor Vehicles,1,0
2025,July,Tobago,38,Larceny Dwelling House,5,0
2025,July,Tobago,69,Narcotics,1,1
2025,July,Tobago,69A,Other,8,5
2025,July,Tobago,8,Woundings and Shootings,2,1
2025,July,Tobago,85,Possession of Firearms and Ammunition,2,2
2025,July,Western,1,Murders,1,0
2025,July,Western,10,"Rapes, Incest and Sexual Offences",2,0
2025,July,Western,15,Serious Indecency,1,0
2025,July,Western,16,Kidnapping,0,0
2025,July,Western,16R,Kidnapping for Ransom,0,0
2025,July,Western,21,Burglaries and Breakings,6,1
2025,July,Western,22,Robberies,20,0
2025,July,Western,30,Fraud Offences,2,0
2025,July,Western,34,General Larceny,9,1
2025,July,Western,34A,Larceny Motor Vehicles,6,0
2025,July,Western,38,Larceny Dwelling House,0,0
2025,July,Western,69,Narcotics,1,1
2025,July,Western,69A,Other,5,1
2025,July,Western,8,Woundings and Shootings,4,1
2025,July,Western,85,Possession of Firearms and Ammunition,10,10
2025,August,Central,1,Murders,6,1
2025,August,Central,10,"Rapes, Incest and Sexual Offences",9,0
2025,August,Central,15,Serious Indecency,0,0
2025,August,Central,16,Kidnapping,0,0
2025,August,Central,16R,Kidnapping for Ransom,0,0
2025,August,Central,21,Burglaries and Breakings,16,2
2025,August,Central,22,Robberies,19,4
2025,August,Central,30,Fraud Offences,10,2
2025,August,Central,34,General Larceny,10,3
2025,August,Central,34A,Larceny Motor Vehicles,19,2
2025,August,Central,38,Larceny Dwelling House,1,0
2025,August,Central,69,Narcotics,2,2
2025,August,Central,69A,Other,7,2
2025,August,Central,8,Woundings and Shootings,9,3
2025,August,Central,85,Possession of Firearms and Ammunition,13,13
2025,August,Eastern,1,Murders,2,0
2025,August,Eastern,10,"Rapes, Incest and Sexual Offences",1,0
2025,August,Eastern,15,Serious Indecency,0,0
2025,August,Eastern,16,Kidnapping,0,0
2025,August,Eastern,16R,Kidnapping for Ransom,0,0
2025,August,Eastern,21,Burglaries and Breakings,6,3
2025,August,Eastern,22,Robberies,8,4
2025,August,Eastern,30,Fraud Offences,1,0
2025,August,Eastern,34,General Larceny,2,1
2025,August,Eastern,34A,Larceny Motor Vehicles,2,0
2025,August,Eastern,38,Larceny Dwelling House,1,1
2025,August,Eastern,69,Narcotics,6,6
2025,August,Eastern,69A,Other,3,2
2025,August,Eastern,8,Woundings and Shootings,6,6
2025,August,Eastern,85,Possession of Firearms and Ammunition,17,17
2025,August,North Eastern,1,Murders,3,0
2025,August,North Eastern,10,"Rapes, Incest and Sexual Offences",5,1
2025,August,North Eastern,15,Serious Indecency,0,0
2025,August,North Eastern,16,Kidnapping,2,0
2025,August,North Eastern,16R,Kidnapping for Ransom,0,0
2025,August,North Eastern,21,Burglaries and Breakings,7,0
2025,August,North Eastern,22,Robberies,6,1
2025,August,North Eastern,30,Fraud Offences,2,0
2025,August,North Eastern,34,General Larceny,8,3
2025,August,North Eastern,34A,Larceny Motor Vehicles,12,0
2025,August,North Eastern,38,Larceny Dwelling House,0,0
2025,August,North Eastern,69,Narcotics,0,0
2025,August,North Eastern,69A,Other,2,0
2025,August,North Eastern,8,Woundings and Shootings,4,0
2025,August,North Eastern,85,Possession of Firearms and Ammunition,11,11
2025,August,Northern,1,Murders,2,0
2025,August,Northern,10,"Rapes, Incest and Sexual Offences",4,1
2025,August,Northern,15,Serious Indecency,3,2
2025,August,Northern,16,Kidnapping,1,0
2025,August,Northern,16R,Kidnapping for Ransom,0,0
2025,August,Northern,21,Burglaries and Breakings,41,4
2025,August,Northern,22,Robberies,42,2
2025,August,Northern,30,Fraud Offences,6,0
2025,August,Northern,34,General Larceny,38,11
2025,August,Northern,34A,Larceny Motor Vehicles,22,1
2025,August,Northern,38,Larceny Dwelling House,0,0
2025,August,Northern,69,Narcotics,4,4
2025,August,Northern,69A,Other,15,6
2025,August,Northern,8,Woundings and Shootings,14,0
2025,August,Northern,85,Possession of Firearms and Ammunition,20,20
2025,August,Port of Spain,1,Murders,2,1
2025,August,Port of Spain,10,"Rapes, Incest and Sexual Offences",6,0
2025,August,Port of Spain,15,Serious Indecency,1,1
2025,August,Port of Spain,16,Kidnapping,1,0
2025,August,Port of Spain,16R,Kidnapping for Ransom,0,0
2025,August,Port of Spain,21,Burglaries and Breakings,6,2
2025,August,Port of Spain,22,Robberies,16,0
2025,August,Port of Spain,30,Fraud Offences,7,1
2025,August,Port of Spain,34,General Larceny,27,1
2025,August,Port of Spain,34A,Larceny Motor Vehicles,7,0
2025,August,Port of Spain,38,Larceny Dwelling House,2,0
2025,August,Port of Spain,69,Narcotics,1,1
2025,August,Port of Spain,69A,Other,4,0
2025,August,Port of Spain,8,Woundings and Shootings,0,0
2025,August,Port of Spain,85,Possession of Firearms and Ammunition,5,5
2025,August,South Western,1,Murders,3,1
2025,August,South Western,10,"Rapes, Incest and Sexual Offences",10,0
2025,August,South Western,15,Serious Indecency,0,0
2025,August,South Western,16,Kidnapping,0,0
2025,August,South Western,16R,Kidnapping for Ransom,0,0
2025,August,South Western,21,Burglaries and Breakings,4,2
2025,August,South Western,22,Robberies,14,9
2025,August,South Western,30,Fraud Offences,2,0
2025,August,South Western,34,General Larceny,3,2
2025,August,South Western,34A,Larceny Motor Vehicles,7,1
2025,August,South Western,38,Larceny Dwelling House,0,0
2025,August,South Western,69,Narcotics,2,2
2025,August,South Western,69A,Other,4,1
2025,August,South Western,8,Woundings and Shootings,9,1
2025,August,South Western,85,Possession of Firearms and Ammunition,15,15
2025,August,Southern,1,Murders,4,2
2025,August,Southern,10,"Rapes, Incest and Sexual Offences",6,0
2025,August,Southern,15,Serious Indecency,0,0
2025,August,Southern,16,Kidnapping,1,1
2025,August,Southern,16R,Kidnapping for Ransom,0,0
2025,August,Southern,21,Burglaries and Breakings,18,13
2025,August,Southern,22,Robberies,14,6
2025,August,Southern,30,Fraud Offences,2,0
2025,August,Southern,34,General Larceny,10,8
2025,August,Southern,34A,Larceny Motor Vehicles,4,1
2025,August,Southern,38,Larceny Dwelling House,1,1
2025,August,Southern,69,Narcotics,1,1
2025,August,Southern,69A,Other,3,1
2025,August,Southern,8,Woundings and Shootings,3,3
2025,August,Southern,85,Possession of Firearms and Ammunition,32,32
2025,August,Tobago,1,Murders,1,0
2025,August,Tobago,10,"Rapes, Incest and Sexual Offences",18,13
2025,August,Tobago,15,Serious Indecency,0,0
2025,August,Tobago,16,Kidnapping,0,0
2025,August,Tobago,16R,Kidnapping for Ransom,0,0
2025,August,Tobago,21,Burglaries and Breakings,15,2
2025,August,Tobago,22,Robberies,5,0
2025,August,Tobago,30,Fraud Offences,1,0
2025,August,Tobago,34,General Larceny,10,1
2025,August,Tobago,34A,Larceny Motor Vehicles,0,0
2025,August,Tobago,38,Larceny Dwelling House,1,0
2025,August,Tobago,69,Narcotics,8,8
2025,August,Tobago,69A,Other,4,2
2025,August,Tobago,8,Woundings and Shootings,2,1
2025,August,Tobago,85,Possession of Firearms and Ammunition,0,0
2025,August,Western,1,Murders,0,0
2025,August,Western,10,"Rapes, Incest and Sexual Offences",5,0
2025,August,Western,15,Serious Indecency,0,0
2025,August,Western,16,Kidnapping,0,0
2025,August,Western,16R,Kidnapping for Ransom,0,0
2025,August,Western,21,Burglaries and Breakings,5,1
2025,August,Western,22,Robberies,6,1
2025,August,Western,30,Fraud Offences,1,0
2025,August,Western,34,General Larceny,19,1
2025,August,Western,34A,Larceny Motor Vehicles,9,0
2025,August,Western,38,Larceny Dwelling House,3,0
2025,August,Western,69,Narcotics,5,5
2025,August,Western,69A,Other,4,2
2025,August,Western,8,Woundings and Shootings,3,2
2025,August,Western,85,Possession of Firearms and Ammunition,10,10
2025,September,Central,1,Murders,4,1
2025,September,Central,10,"Rapes, Incest and Sexual Offences",10,3
2025,September,Central,15,Serious Indecency,1,1
2025,September,Central,16,Kidnapping,3,2
2025,September,Central,16R,Kidnapping for Ransom,0,0
2025,September,Central,21,Burglaries and Breakings,15,5
2025,September,Central,22,Robberies,16,3
2025,September,Central,30,Fraud Offences,5,2
2025,September,Central,34,General Larceny,11,2
2025,September,Central,34A,Larceny Motor Vehicles,10,0
2025,September,Central,38,Larceny Dwelling House,1,1
2025,September,Central,69,Narcotics,3,3
2025,September,Central,69A,Other,7,1
2025,September,Central,8,Woundings and Shootings,8,3
2025,September,Central,85,Possession of Firearms and Ammunition,8,8
2025,September,Eastern,1,Murders,4,0
2025,September,Eastern,10,"Rapes, Incest and Sexual Offences",2,2
2025,September,Eastern,15,Serious Indecency,0,0
2025,September,Eastern,16,Kidnapping,0,0
2025,September,Eastern,16R,Kidnapping for Ransom,0,0
2025,September,Eastern,21,Burglaries and Breakings,10,6
2025,September,Eastern,22,Robberies,6,2
2025,September,Eastern,30,Fraud Offences,0,0
2025,September,Eastern,34,General Larceny,2,2
2025,September,Eastern,34A,Larceny Motor Vehicles,0,0
2025,September,Eastern,38,Larceny Dwelling House,0,0
2025,September,Eastern,69,Narcotics,3,3
2025,September,Eastern,69A,Other,2,2
2025,September,Eastern,8,Woundings and Shootings,10,8
2025,September,Eastern,85,Possession of Firearms and Ammunition,25,25
2025,September,North Eastern,1,Murders,4,1
2025,September,North Eastern,10,"Rapes, Incest and Sexual Offences",1,0
2025,September,North Eastern,15,Serious Indecency,0,0
2025,September,North Eastern,16,Kidnapping,0,0
2025,September,North Eastern,16R,Kidnapping for Ransom,0,0
