lat,long,grid_id,incr
10.045,-61.885000000000005,1_2,0.03
10.075,-61.88499999999999,1_3,0.03
10.105,-61.88499999999999,1_4,0.03
10.075,-61.855,2_3,0.03
10.105,-61.855,2_4,0.03
10.075,-61.824999999999996,3_3,0.03
10.105,-61.824999999999996,3_4,0.03
10.135000000000002,-61.824999999999996,3_5,0.03
10.075,-61.795,4_3,0.03
10.104999999999999,-61.795,4_4,0.03
10.135000000000002,-61.79500000000001,4_5,0.03
10.075,-61.765,5_3,0.03
10.105,-61.765,5_4,0.03
10.135000000000002,-61.765,5_5,0.03
10.165,-61.765,5_6,0.03
10.675,-61.765,5_23,0.03
10.705000000000002,-61.765,5_24,0.03
10.075,-61.735,6_3,0.03
10.105,-61.735,6_4,0.03
10.135000000000002,-61.73499999999999,6_5,0.03
10.165,-61.735,6_6,0.03
10.675,-61.735,6_23,0.03
10.705000000000002,-61.73499999999999,6_24,0.03
10.075,-61.705000000000005,7_3,0.03
10.105,-61.705000000000005,7_4,0.03
10.135000000000002,-61.705,7_5,0.03
10.165,-61.705000000000005,7_6,0.03
10.195,-61.705,7_7,0.03
10.225000000000001,-61.705000000000005,7_8,0.03
10.675,-61.705000000000005,7_23,0.03
10.705000000000002,-61.705,7_24,0.03
10.075,-61.675000000000004,8_3,0.03
10.105,-61.675000000000004,8_4,0.03
10.135000000000002,-61.675000000000004,8_5,0.03
10.165,-61.675000000000004,8_6,0.03
10.195,-61.675000000000004,8_7,0.03
10.675,-61.675000000000004,8_23,0.03
10.705000000000002,-61.675000000000004,8_24,0.03
10.045,-61.644999999999996,9_2,0.03
10.075,-61.64499999999999,9_3,0.03
10.105,-61.64499999999999,9_4,0.03
10.135000000000002,-61.644999999999996,9_5,0.03
10.165,-61.64499999999999,9_6,0.03
10.195,-61.644999999999996,9_7,0.03
10.225000000000001,-61.64499999999999,9_8,0.03
10.254999999999999,-61.64499999999999,9_9,0.03
10.645000000000001,-61.64499999999999,9_22,0.03
10.675,-61.64499999999999,9_23,0.03
10.705000000000002,-61.644999999999996,9_24,0.03
10.735000000000001,-61.64499999999999,9_25,0.03
10.044999999999998,-61.61499999999999,10_2,0.03
10.075,-61.614999999999995,10_3,0.03
10.104999999999999,-61.614999999999995,10_4,0.03
10.135000000000002,-61.61499999999999,10_5,0.03
10.165,-61.614999999999995,10_6,0.03
10.195000000000002,-61.61499999999999,10_7,0.03
10.225000000000001,-61.614999999999995,10_8,0.03
10.254999999999999,-61.614999999999995,10_9,0.03
10.645000000000001,-61.614999999999995,10_22,0.03
10.674999999999999,-61.614999999999995,10_23,0.03
10.705,-61.61499999999999,10_24,0.03
10.735,-61.614999999999995,10_25,0.03
10.075,-61.58500000000001,11_3,0.03
10.105,-61.58500000000001,11_4,0.03
10.135000000000002,-61.585,11_5,0.03
10.165,-61.58500000000001,11_6,0.03
10.195,-61.585,11_7,0.03
10.225000000000001,-61.58500000000001,11_8,0.03
10.254999999999999,-61.58500000000001,11_9,0.03
10.675,-61.58500000000001,11_23,0.03
10.705000000000002,-61.585,11_24,0.03
10.735000000000001,-61.58500000000001,11_25,0.03
10.075,-61.55500000000001,12_3,0.03
10.105,-61.55500000000001,12_4,0.03
10.135000000000002,-61.55500000000001,12_5,0.03
10.165,-61.55500000000001,12_6,0.03
10.195,-61.55500000000001,12_7,0.03
10.225000000000001,-61.55500000000001,12_8,0.03
10.675,-61.55500000000001,12_23,0.03
10.705000000000002,-61.55500000000001,12_24,0.03
10.735000000000001,-61.55500000000001,12_25,0.03
10.765000000000002,-61.55500000000001,12_26,0.03
10.075,-61.52499999999999,13_3,0.03
10.105,-61.52499999999999,13_4,0.03
10.135000000000002,-61.52499999999999,13_5,0.03
10.165,-61.52499999999999,13_6,0.03
10.195,-61.52499999999999,13_7,0.03
10.225000000000001,-61.52499999999999,13_8,0.03
10.254999999999999,-61.52499999999999,13_9,0.03
10.645000000000001,-61.52499999999999,13_22,0.03
10.675,-61.52499999999999,13_23,0.03
10.705000000000002,-61.52499999999999,13_24,0.03
10.735000000000001,-61.52499999999999,13_25,0.03
10.765000000000002,-61.52499999999999,13_26,0.03
10.075,-61.495,14_3,0.03
10.105,-61.495,14_4,0.03
