grid_id,lat,long,week_num,crime_num,do_num,do_num_1,do_num_2,do_num_3,do_num_4,do_num_5,do_num_6,do_num_7,do_spill,do_spill_1,do_spill_2,do_spill_3,do_spill_4,do_spill_5,do_spill_6,do_spill_7
1_1,10.025,-61.875,0,0,0,,,,,,,,0,,,,,,,
1_1,10.025,-61.875,1,0,0,0,,,,,,,0,0,,,,,,
1_1,10.025,-61.875,2,0,0,0,0,,,,,,0,0,0,,,,,
1_1,10.025,-61.875,3,0,0,0,0,0,,,,,0,0,0,0,,,,
1_1,10.025,-61.875,4,0,0,0,0,0,0,,,,0,0,0,0,0,,,
1_1,10.025,-61.875,5,0,0,0,0,0,0,0,,,0,0,0,0,0,0,,
1_1,10.025,-61.875,6,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,
1_1,10.025,-61.875,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1_1,10.025,-61.875,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1_1,10.025,-61.875,9,0,0,0,0,0,0,0,0,0,0.18552433173333394,0,0,0,0,0,0,0
1_1,10.025,-61.875,10,0,0,0,0,0,0,0,0,0,0,0.18552433173333394,0,0,0,0,0,0
1_1,10.025,-61.875,11,0,0,0,0,0,0,0,0,0,0,0,0.18552433173333394,0,0,0,0,0
1_1,10.025,-61.875,12,0,0,0,0,0,0,0,0,0,0,0,0,0.18552433173333394,0,0,0,0
1_1,10.025,-61.875,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18552433173333394,0,0,0
1_1,10.025,-61.875,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18552433173333394,0,0
1_1,10.025,-61.875,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18552433173333394,0
1_1,10.025,-61.875,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18552433173333394
1_1,10.025,-61.875,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1_1,10.025,-61.875,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1_1,10.025,-61.875,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1_1,10.025,-61.875,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1_1,10.025,-61.875,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1_1,10.025,-61.875,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1_1,10.025,-61.875,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1_1,10.025,-61.875,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1_1,10.025,-61.875,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1_1,10.025,-61.875,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1_1,10.025,-61.875,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
